country,iso3,population,estimated_greywater_m3_year,greywater_tons_per_hour
Africa Eastern and Southern,AFE,750491370,37524568500,4283626.54109589
Africa Western and Central,AFW,509398589,25469929450,2907526.1929223742
Arab World,ARB,482105978,24105298900,2751746.4497716897
Caribbean small states,CSS,4519904,225995200,25798.53881278539
Central Europe and the Baltics,CEB,100183707,5009185350,571824.8116438356
Early-demographic dividend,EAR,3511607650,175580382500,20043422.65981735
East Asia & Pacific,EAS,2384441485,119222074250,13609825.82762557
East Asia & Pacific (excluding high income),EAP,2137527754,106876387700,12200500.878995433
East Asia & Pacific (IDA & IBRD countries),TEA,2111139152,105556957600,12049881.00456621
Euro area,EMU,349762722,17488136100,1996362.5684931509
Europe & Central Asia,ECS,924773523,46238676150,5278387.688356164
Europe & Central Asia (excluding high income),ECA,248721385,12436069250,1419642.6084474886
Europe & Central Asia (IDA & IBRD countries),TEC,458602212,22930110600,2617592.5342465756
European Union,EUU,448897545,22444877250,2562200.599315068
Fragile and conflict affected situations,FCS,1057033168,52851658400,6033294.337899543
Heavily indebted poor countries (HIPC),HPC,917304254,45865212700,5235754.874429223
IBRD only,IBD,4952212190,247610609500,28266051.312785387
IDA & IBRD total,IBT,6858521511,342926075550,39146812.27739726
IDA blend,IDB,664395892,33219794600,3792213.99543379
IDA only,IDX,1241913429,62095671450,7088546.9691780815
IDA total,IDA,1906309321,95315466050,10880760.964611871
Late-demographic dividend,LTE,2326296729,116314836450,13277949.366438357
Latin America & Caribbean,LCN,657616517,32880825850,3753518.9326484017
Latin America & Caribbean (excluding high income),LAC,589889543,29494477150,3366949.4463470317
Latin America & the Caribbean (IDA & IBRD countries),TLA,642397939,32119896950,3666654.9029680365
Least developed countries: UN classification,LDC,1160824674,58041233700,6625711.609589041
Low & middle income,LMY,6498875200,324943760000,37094036.529680364
"Middle East, North Africa, Afghanistan & Pakistan",MEA,797801454,39890072700,4553661.267123288
"Middle East, North Africa, Afghanistan & Pakistan (excluding high income)",MNA,729077445,36453872250,4161400.941780822
"Middle East, North Africa, Afghanistan & Pakistan (IDA & IBRD)",TMN,723911670,36195583500,4131915.9246575343
Middle income,MIC,5891100497,294555024850,33625002.836757995
North America,NAC,376954413,18847720650,2151566.2842465756
OECD members,OED,1387897706,69394885300,7921790.55936073
Other small states,OSS,12822134,641106700,73185.69634703196
Pacific island small states,PSS,2689224,134461200,15349.452054794521
Post-demographic dividend,PST,1121315547,56065777350,6400202.893835616
Pre-demographic dividend,PRE,1078224044,53911202200,6154246.826484018
Small states,SST,20031262,1001563100,114333.68721461187
South Asia,SAS,1662580579,83129028950,9489615.17694064
South Asia (IDA & IBRD),TSA,1662580579,83129028950,9489615.17694064
Sub-Saharan Africa,SSF,1259889959,62994497950,7191152.734018265
Sub-Saharan Africa (excluding high income),SSA,1131078494,56553924700,6455927.47716895
Sub-Saharan Africa (IDA & IBRD countries),TSS,1259889959,62994497950,7191152.734018265
World,WLD,8064057930,403202896500,46027727.91095891
Afghanistan,AFG,41454761,2072738050,236613.93264840182
Albania,ALB,2414095,120704750,13779.081050228311
Algeria,DZA,46164219,2308210950,263494.4006849315
American Samoa,ASM,47521,2376050,271.23858447488584
Andorra,AND,80856,4042800,461.50684931506845
Angola,AGO,36749906,1837495300,209759.7374429224
Antigua and Barbuda,ATG,93316,4665800,532.6255707762557
Argentina,ARG,45538401,2276920050,259922.3801369863
